Date,Predicted_Value
2023-06-16,342.3256740723364
2023-06-17,342.4412677773987
2023-06-18,342.4365469571404
2023-06-19,342.8750539029062
2023-06-20,342.9134577278438
2023-06-21,342.9531455742089
2023-06-22,343.011283337354
2023-06-23,342.81736556904326
2023-06-24,342.90618507449113
2023-06-25,342.84783550121574
2023-06-26,343.1570353481812
2023-06-27,343.1930738970988
2023-06-28,343.33566829663636
2023-06-29,343.5222301573044
2023-06-30,343.5439222929497
2023-07-01,343.97222230007924
2023-07-02,343.93817505042523
2023-07-03,343.9934289772582
2023-07-04,344.0633319340982
2023-07-05,343.9087969433658
2023-07-06,344.0152377467688
2023-07-07,343.98004168065967
2023-07-08,344.36688062735453
2023-07-09,344.35981698111914
2023-07-10,344.50132647196034
2023-07-11,344.6873639700681
2023-07-12,344.70886112673327
2023-07-13,345.13723744251894
2023-07-14,345.10372844090904
2023-07-15,345.15886687260223
